Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90780.22656,9.212247,32.017776,34.599869,25.022684,0.2758,0.374228,0,0,0,0.015841,24.779301,5148594,0,0,12.000002,0,0,0,0,55.368858
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90742.07031,9.212529,32.029648,34.603344,25.021578,0.2758,0.374685,0,0,0,0.015683,24.780731,5148415,0,0,25,0,0,0,0,55.737984
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90628.28906,9.21788,32.02795,34.603344,25.001659,0.275666,0.374533,0,0,0,0.015893,24.779451,5148505,0,0,100,0,0,0,0,54.876698
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90736.1875,9.214219,32.02795,34.594654,25.038177,0.276068,0.374228,0,0,0,0.015788,24.779894,5148547,0,0,1,0,0,0,0,55.12278
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90659.75781,9.214219,32.029648,34.592918,25.010513,0.2758,0.374228,0,0,0,0.015474,24.780386,5148760,0,0,5,0,0,0,0,55.491901
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90599.10156,9.220134,32.031345,34.603344,25.035965,0.275934,0.374075,0,0,0,0.015736,24.779549,5148929,0,0,1,0,0,0,0,54.753654
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90837.10156,9.211684,32.02795,34.592918,25.039284,0.2758,0.373465,0,0,0,0.015788,24.779055,5148907,0,0,0,0,0,0,0,55.368858
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90723.90625,9.216754,32.034737,34.601608,25.018259,0.275532,0.373312,0,0,0,0.015631,24.779797,5148819,0,0,0,0,0,0,0,55.12278
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90760.10156,9.212247,32.029648,34.598129,25.001659,0.275666,0.374075,0,0,0,0.016155,24.780088,5148854,0,0,0,0,0,0,0,55.12278
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90860.20313,9.215909,32.031345,34.598129,24.967358,0.275131,0.374075,0,0,0,0.015946,24.780483,5148632,0,0,0,0,0,0,0,55.614941
1.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90773.42969,9.219851,32.041523,34.613773,25.020472,0.275532,0.374685,0,0,0,0.015998,24.780977,5148555,0,0,0,0,0,0,0,55.491901
1.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90831.92188,9.213092,32.024559,34.596394,25.026005,0.274462,0.375601,0,0,0,0.015841,24.780386,5148651,0,0,0,0,0,0,0,55.491901
1.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90700.3125,9.213937,32.029648,34.601608,25.043711,0.275666,0.374075,0,0,0,0.015683,24.781717,5148573,0,0,0,0,0,0,0,55.368858
1.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90761.96875,9.211121,32.031345,34.594654,25.051456,0.274997,0.373922,0,0,0,0.015474,24.782063,5148583,0,0,0,0,0,0,0,55.245819
1.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90800.21094,9.220696,32.029648,34.589443,25.037071,0.275399,0.374075,0,0,0,0.015788,24.781174,5148507,0,0,0,0,0,0,0,55.614941
1.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90833.54688,9.212811,32.02795,34.598129,25.020472,0.275399,0.37438,0,0,0,0.015474,24.780634,5148446,0,0,0,0,0,0,0,55.368858
1.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90717.46094,9.211684,32.021168,34.610298,24.987274,0.276202,0.375448,0,0,0,0.015946,24.781864,5148654,0,0,0,0,0,0,0,55.12278
1.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90750.11719,9.222386,32.033039,34.594654,25.021578,0.277139,0.374075,0,0,0,0.015788,24.781027,5148210,0,0,0,0,0,0,0,54.876698
1.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90506.64844,9.214219,32.026257,34.598129,25.065844,0.275532,0.37438,0,0,0,0.015736,24.781569,5148436,0,0,0,0,0,0,0,55.368858
2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90759.07031,9.21619,32.01947,34.599869,24.99502,0.275265,0.374685,0,0,0,0.015946,24.779943,5148389,0,0,0,0,0,0,0,55.12278
2.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90635.10156,9.223231,32.031345,34.599869,25.008299,0.274997,0.374685,0,0,0,0.015788,24.780138,5148621,0,0,0,0,0,0,0,55.245819
2.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90859.36719,9.216472,32.024559,34.596394,24.973997,0.275666,0.374075,0,0,0,0.015946,24.78088,5148521,0,0,0,0,0,0,0,55.245819
2.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90639.44531,9.225203,32.031345,34.591179,24.997234,0.275934,0.37377,0,0,0,0.015736,24.780584,5148453,0,0,0,0,0,0,0,55.491901
2.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90709.42188,9.213937,32.017776,34.589443,25.035965,0.275399,0.375143,0,0,0,0.015841,24.779646,5148272,0,0,0,0,0,0,0,55.491901
2.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90723.88281,9.211684,32.029648,34.610298,25.030432,0.275532,0.373617,0,0,0,0.015736,24.781815,5148668,0,0,0,0,0,0,0,55.491901
2.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90681.32813,9.213937,32.02795,34.605083,25.039284,0.275399,0.374075,0,0,0,0.015579,24.780434,5148703,0,0,0,0,0,0,0,55.614941
2.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90656.63281,9.21788,32.024559,34.596394,25.020472,0.275666,0.373617,0,0,0,0.015579,24.781372,5148691,0,0,0,0,0,0,0,55.12278
2.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90593.38281,9.213937,32.021168,34.587704,24.983955,0.275666,0.374075,0,0,0,0.015841,24.781469,5148503,0,0,0,0,0,0,0,54.999737
2.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90587.21094,9.211121,32.017776,34.591179,24.990595,0.275934,0.373922,0,0,0,0.015683,24.780634,5148400,0,0,0,0,0,0,0,55.737984
3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90640.41406,9.2145,32.033039,34.599869,25.04039,0.274729,0.374228,0,0,0,0.015736,24.78093,5148569,0,0,0,0,0,0,0,55.368858
3.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90605.32813,9.211966,32.029648,34.598129,24.998341,0.275131,0.374533,0,0,0,0.015631,24.781469,5148584,0,0,0,0,0,0,0,55.368858
3.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90599.25,9.213374,32.017776,34.591179,24.964037,0.276336,0.374075,0,0,0,0.015579,24.781372,5148656,0,0,0,0,0,0,0,55.737984
3.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90769.07031,9.210557,32.01947,34.596394,25.042604,0.276603,0.375296,0,0,0,0.015736,24.781469,5148858,0,0,0,0,0,0,0,55.368858
3.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90558.85156,9.211966,32.026257,34.605083,25.055883,0.274729,0.374533,0,0,0,0.015631,24.781124,5148933,0,0,0,0,0,0,0,55.614941
3.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90755.42969,9.213937,32.031345,34.601608,25.034857,0.276202,0.374685,0,0,0,0.015736,24.781767,5148761,0,0,0,0,0,0,0,55.368858
3.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,90718.32813,9.217317,32.038128,34.582493,25.053671,0.275532,0.374075,0,0,0,0.015631,24.782307,5148838,0,0,0,0,0,0,0,54.999737
