Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782528.1875,10.499072,32.418926,31.06629,25.045923,0.203788,0.313954,0,0,0,0.015736,25.377123,5210281,0,0,10.5,0,0,0,0,55.368858
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782596.375,10.488651,32.418926,31.052961,25.041498,0.204324,0.314717,0,0,0,0.016051,25.377419,5210415,0,0,25,0,0,0,0,54.384533
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782692,10.489496,32.424034,31.0413,25.019365,0.20419,0.313802,0,0,0,0.015788,25.380043,5210262,0,0,100,0,0,0,0,54.507576
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782758.8125,10.497664,32.418926,31.042965,24.998341,0.203654,0.313344,0,0,0,0.015893,25.380339,5210239,0,0,1,0,0,0,0,54.753654
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782787.5625,10.49006,32.427444,31.027973,24.996126,0.203387,0.313039,0,0,0,0.016051,25.381083,5210039,0,0,5,0,0,0,0,55.245819
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782818.8125,10.495692,32.430851,31.03297,25.042604,0.204591,0.313344,0,0,0,0.015736,25.381083,5210336,0,0,1,0,0,0,0,54.876698
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782834.5,10.503578,32.425739,31.042965,25.028217,0.204725,0.314412,0,0,0,0.016051,25.383308,5210286,0,0,0,0,0,0,0,54.630615
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782803.0625,10.48837,32.430851,31.034636,25.043711,0.204056,0.314565,0,0,0,0.016051,25.382368,5210186,0,0,0,0,0,0,0,54.876698
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782752.375,10.49344,32.415516,31.036303,25.034857,0.204458,0.313344,0,0,0,0.015526,25.383457,5210277,0,0,0,0,0,0,0,54.753654
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,782689.9375,10.492031,32.410408,31.039633,25.039284,0.203253,0.313802,0,0,0,0.015946,25.382368,5210291,0,0,0,0,0,0,0,55.12278
