Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,Ite3 Conc.1,Ite3 Conc.2,Ite3 Conc.3,Ite3 Conc.4,Ite3 BF1,Ite3 BF2,Ite3 BF3,Ite3 BF4,Ite3 TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm1 Conc.1,Ite.Nm2 Conc.1,Amp Adjust, TCS Cell Press,FPGA Temp.
0.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120031.2734,9.212247,37.281559,39.66391,25.021578,0.342592,0.512016,0,0,0,0.015579,26.26598,5199194,0,0,12.000004,0,0,0,0,56.599266
0.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120028.8672,9.212247,37.283371,39.669518,25.038177,0.34219,0.513085,0,0,0,0.015683,26.264784,5199036,0,0,25,0,0,0,0,55.737984
0.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120025.8516,9.215064,37.294262,39.669518,25.022684,0.342458,0.512627,0,0,0,0.015841,26.264633,5199181,0,0,100,0,0,0,0,55.861023
0.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120015.4297,9.224076,37.287003,39.658302,25.034857,0.341923,0.514305,0,0,0,0.015946,26.264883,5199240,0,0,1,0,0,0,0,56.107105
0.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120021.0313,9.22464,37.281559,39.662041,25.031538,0.342993,0.512932,0,0,0,0.015893,26.265182,5199206,0,0,5,0,0,0,0,56.107105
0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120021.7656,9.21788,37.281559,39.662041,25.051456,0.341789,0.512932,0,0,0,0.015946,26.263489,5199224,0,0,1,0,0,0,0,55.861023
0.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120039.1484,9.215627,37.283371,39.641491,25.006086,0.341387,0.513695,0,0,0,0.015841,26.261545,5199259,0,0,0,0,0,0,0,55.737984
0.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120028.6016,9.212247,37.287003,39.654568,25.019365,0.34219,0.512779,0,0,0,0.016103,26.261297,5199202,0,0,0,0,0,0,0,56.107105
0.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120016.7422,9.212811,37.287003,39.656437,24.99502,0.34219,0.512779,0,0,0,0.015683,26.260649,5199121,0,0,0,0,0,0,0,55.984062
1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120015.8984,9.215345,37.283371,39.641491,25.029325,0.342592,0.512932,0,0,0,0.016103,26.261995,5199010,0,0,0,0,0,0,0,55.984062
1.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120021.8516,9.210839,37.26704,39.647095,24.985062,0.341923,0.512474,0,0,0,0.015683,26.261047,5199306,0,0,0,0,0,0,0,56.353188
1.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120031.9609,9.213655,37.283371,39.662041,25.044817,0.341521,0.512779,0,0,0,0.015998,26.261297,5199335,0,0,0,0,0,0,0,56.476227
1.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120031.9766,9.218444,37.283371,39.66391,25.023792,0.342056,0.512322,0,0,0,0.016103,26.2605,5199231,0,0,0,0,0,0,0,56.353188
1.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120023.5625,9.21619,37.263412,39.650829,25.030432,0.341923,0.512169,0,0,0,0.015841,26.260948,5199500,0,0,0,0,0,0,0,56.599266
1.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120025.8438,9.220696,37.26704,39.652699,24.992807,0.342324,0.513542,0,0,0,0.015631,26.258657,5199352,0,0,0,0,0,0,0,56.353188
1.6,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120021.6563,9.211402,37.283371,39.654568,25.008299,0.341789,0.512016,0,0,0,0.015474,26.259056,5199283,0,0,0,0,0,0,0,56.722309
1.7,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120022.4453,9.217599,37.272484,39.645226,24.997234,0.341521,0.513237,0,0,0,0.015998,26.258507,5199429,0,0,0,0,0,0,0,55.737984
1.8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120037.4609,9.212247,37.26704,39.643356,25.047031,0.342056,0.512474,0,0,0,0.015893,26.259752,5199330,0,0,0,0,0,0,0,56.353188
1.9,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120057.8047,9.224076,37.283371,39.647095,25.032644,0.341387,0.512627,0,0,0,0.015579,26.258558,5199364,0,0,0,0,0,0,0,56.353188
2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120073.6406,9.210276,37.263412,39.637753,24.982849,0.342056,0.512627,0,0,0,0.015841,26.258606,5199147,0,0,0,0,0,0,0,56.722309
2.1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120078.2813,9.21788,37.272484,39.635887,25.05699,0.341923,0.511864,0,0,0,0.015998,26.25806,5199340,0,0,0,0,0,0,0,55.737984
2.2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120073.6328,9.213374,37.2616,39.637753,25.048138,0.341119,0.513237,0,0,0,0.015788,26.259106,5199532,0,0,0,0,0,0,0,55.984062
2.3,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120067.8359,9.211966,37.252529,39.645226,25.04039,0.342993,0.512474,0,0,0,0.015788,26.259405,5199182,0,0,0,0,0,0,0,56.107105
2.4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120070.25,9.214782,37.250713,39.645226,25.043711,0.341789,0.512322,0,0,0,0.015736,26.259504,5199222,0,0,0,0,0,0,0,56.353188
2.5,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,120061.625,9.223231,37.263412,39.641491,25.012726,0.341387,0.511711,0,0,0,0.015683,26.258308,5199003,0,0,0,0,0,0,0,56.476227
